UUID1,UUID2,Coverage,Weighted_Score,UUID,Main_Event,Event_Name,Hazard,Location,Deaths_Min,Deaths_Max,Injured_Max,Injured_Min,Buildings_Damaged_Min,Buildings_Damaged_Max,Affected_Min,Affected_Max,Homelessness_Min,Homelessness_Max,Displaced_Min,Displaced_Max,Damage_Min,Damage_Max,Damage_Unit,Damage_Inflation_Adjusted,Damage_Inflation_Adjusted_Year,Insured_Damage_Min,Insured_Damage_Max,Insured_Damage_Unit,Insured_Damage_Inflation_Adjusted,Insured_Damage_Inflation_Adjusted_Year,Start_Day,Start_Month,Start_Year,End_Day,End_Month,End_Year
Eexn95B,Eexn95B,0.0,0.21889400921658986,0,0,0.0,0.33333333333333337,0.45238095238095233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
F67TZ7j,F67TZ7j,0.0,0.15037220843672455,0,0,0.0,0.46153846153846156,0.19999999999999996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
FHHKJ5J,FHHKJ5J,0.0,0.010752688172043012,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
FdHghju,FdHghju,0.0,0.030107526881720432,0,0,0.0,0.33333333333333337,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
GESxT3C,GESxT3C,0.0,0.028897849462365593,0,0,0.0,0.33333333333333337,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
GFcr4LT,GFcr4LT,0.0,0.06835637480798772,0,0,0.0,0.33333333333333337,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
GLkMmt2,GLkMmt2,0.0,0.010752688172043012,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
GPma5wr,GPma5wr,0.0,0.08096141682479444,0,0,0.0,0.33333333333333337,0.17647058823529416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0
GpUZaWy,GpUZaWy,0.0,0.017921146953405017,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0
HKRnXbi,HKRnXbi,0.0,0.05268817204301075,0,0,0.0,0.33333333333333337,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
